credit_policy,int_rate,installment,log_annual_inc,dti,fico,days_with_cr_line,revol_bal,revol_util,inq_last_6mths,delinq_2yrs,pub_rec,not_fully_paid,purpose_all_other,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_major_purchase,purpose_small_business
1,0.1189,829.1,11.35040654,19.48,737,5639.958333,10.270038567145066,52.1,0,0,0,0,0,0,1,0,0,0,0
1,0.1071,228.22,11.08214255,14.29,707,2760.0,10.422995376684952,76.7,0,0,0,0,0,1,0,0,0,0,0
1,0.1357,366.86,10.37349118,11.63,682,4710.0,8.163940954755008,25.6,1,0,0,0,0,0,1,0,0,0,0
1,0.1008,162.34,11.35040654,8.1,712,2699.958333,10.424303110331467,73.2,1,0,0,0,0,0,1,0,0,0,0
1,0.1426,102.92,11.29973224,14.97,667,4066.0,8.464003362902119,39.5,0,1,0,0,0,1,0,0,0,0,0
1,0.0788,125.13,11.90496755,16.98,727,6120.041667,10.83580910148281,51.0,0,0,0,0,0,1,0,0,0,0,0
1,0.1496,194.02,10.71441777,4.0,667,3180.041667,8.253227645581772,76.8,0,0,1,1,0,0,1,0,0,0,0
1,0.1114,131.22,11.00209984,11.08,722,5116.0,10.094975304446326,68.6,0,0,0,1,1,0,0,0,0,0,0
1,0.1134,87.19,11.40756495,17.25,682,3989.0,11.15496397950603,51.1,1,0,0,0,0,0,0,0,1,0,0
1,0.1221,84.12,10.20359214,10.0,707,2730.041667,8.636042325254618,23.0,1,0,0,0,0,0,1,0,0,0,0
1,0.1347,360.43,10.4341158,22.09,677,6713.041667,9.535823881654714,71.0,2,0,1,0,0,0,1,0,0,0,0
1,0.1324,253.58,11.83500896,9.16,662,4298.0,8.541495483939203,18.2,2,1,0,0,0,0,1,0,0,0,0
1,0.0859,316.11,10.93310697,15.49,767,6519.958333,8.710949125835855,16.7,0,0,0,0,0,0,1,0,0,0,0
1,0.0714,92.82,11.51292546,6.5,747,4384.0,8.013674142832684,4.8,0,1,0,0,0,0,0,0,0,0,1
1,0.0863,209.54,9.487972109,9.73,727,1559.958333,8.745602852402946,44.6,0,0,0,0,0,0,1,0,0,0,0
1,0.1103,327.53,10.73891524,13.04,702,8159.958333,8.593227877692234,53.4,1,0,0,0,0,0,0,0,0,1,0
1,0.1317,77.69,10.52277288,2.26,672,3895.958333,7.701652362642226,88.4,0,0,0,0,1,0,0,0,0,0,0
1,0.0894,476.58,11.60823564,7.07,797,6510.958333,8.934191535338075,52.7,1,0,0,0,0,1,0,0,0,0,0
1,0.1039,584.12,10.49127422,3.8,712,2760.0,9.025455532779063,59.8,0,0,0,0,0,0,1,0,0,0,0
1,0.1513,173.65,11.00209984,2.74,667,1126.958333,6.3835066348840055,84.4,3,0,0,0,0,0,0,0,0,1,0
1,0.08,188.02,11.22524339,16.08,772,4888.958333,10.302196556147285,23.2,1,0,0,0,1,0,0,0,0,0,0
1,0.0863,474.42,10.81977828,2.59,797,11951.0,8.640648995343156,27.6,0,0,0,0,1,0,0,0,0,0,0
1,0.1355,339.6,11.51292546,7.94,662,1939.958333,9.960009652860453,57.7,0,0,0,0,0,1,0,0,0,0,0
1,0.0788,484.85,11.73606902,7.05,782,5640.041667,9.736960601640813,34.6,1,0,0,0,0,1,0,0,0,0,0
1,0.1229,320.19,11.26446411,8.8,672,3760.958333,8.481151420068972,58.1,0,0,1,0,0,0,1,0,0,0,0
1,0.0901,159.03,12.4292162,10.0,712,1553.958333,9.571853592555165,36.6,0,2,0,0,1,0,0,0,0,0,0
1,0.0743,155.38,11.08214255,0.28,802,4649.958333,7.3632795869630385,5.7,1,0,0,0,1,0,0,0,0,0,0
1,0.1375,255.43,9.998797732,14.29,662,1318.958333,8.337109129562474,51.5,0,1,0,0,0,0,1,0,0,0,0
1,0.0743,155.38,12.20607265,0.28,772,4516.958333,8.059908334578276,13.7,0,0,0,0,1,0,0,0,0,0,0
1,0.0743,155.38,12.20607265,3.72,812,6778.958333,11.357534015706838,0.7,0,0,0,0,1,0,0,0,0,0,0
1,0.0807,156.84,11.51292546,2.3,742,3148.958333,9.179778066393542,19.4,0,0,0,0,0,0,1,0,0,0,0
1,0.1028,275.38,9.798127037,6.4,692,7469.958333,9.087946723762116,26.9,1,1,0,0,0,1,0,0,0,0,0
1,0.0743,155.38,11.91839057,0.0,777,7128.958333,8.708474489581665,19.5,0,0,0,0,0,0,0,0,1,0,0
1,0.0807,78.42,11.60823564,11.33,762,6059.958333,8.892199092039693,13.1,0,0,0,0,0,0,0,0,1,0,0
1,0.087,158.3,11.22524339,15.55,757,4770.0,11.097925039878724,23.0,0,0,0,0,0,1,0,0,0,0,0
1,0.0743,155.38,11.46163217,3.83,772,2535.0,8.205491613120236,6.8,0,0,0,0,1,0,0,0,0,0,0
1,0.0743,155.38,11.35040654,0.31,787,3540.0,5.37989735354046,0.6,0,0,0,0,0,1,0,0,0,0,0
